,date,location,time,PM2.5
132,2016/01/06,中壢,12.0,4.0
133,2016/01/06,中壢,13.0,10.0
134,2016/01/06,中壢,14.0,12.0
135,2016/01/06,中壢,15.0,12.0
136,2016/01/06,中壢,16.0,12.0
137,2016/01/06,中壢,17.0,16.0
138,2016/01/06,中壢,18.0,20.0
139,2016/01/06,中壢,19.0,19.0
140,2016/01/06,中壢,20.0,19.0
141,2016/01/06,中壢,21.0,20.0
142,2016/01/06,中壢,22.0,19.0
143,2016/01/06,中壢,23.0,19.0
144,2016/01/07,中壢,0.0,10.0
145,2016/01/07,中壢,1.0,9.0
146,2016/01/07,中壢,2.0,6.0
147,2016/01/07,中壢,3.0,10.0
148,2016/01/07,中壢,4.0,18.0
149,2016/01/07,中壢,5.0,13.0
150,2016/01/07,中壢,6.0,20.0
151,2016/01/07,中壢,7.0,22.0
152,2016/01/07,中壢,8.0,23.0
153,2016/01/07,中壢,9.0,30.0
154,2016/01/07,中壢,10.0,25.0
155,2016/01/07,中壢,11.0,37.0
156,2016/01/07,中壢,12.0,34.0
157,2016/01/07,中壢,13.0,39.0
158,2016/01/07,中壢,14.0,37.0
159,2016/01/07,中壢,15.0,37.0
160,2016/01/07,中壢,16.0,30.0
161,2016/01/07,中壢,17.0,26.0
162,2016/01/07,中壢,18.0,22.0
163,2016/01/07,中壢,19.0,31.0
164,2016/01/07,中壢,20.0,29.0
165,2016/01/07,中壢,21.0,22.0
166,2016/01/07,中壢,22.0,31.0
167,2016/01/07,中壢,23.0,29.0
168,2016/01/08,中壢,0.0,33.0
169,2016/01/08,中壢,1.0,27.0
170,2016/01/08,中壢,2.0,22.0
171,2016/01/08,中壢,3.0,18.0
172,2016/01/08,中壢,4.0,8.0
173,2016/01/08,中壢,5.0,11.0
174,2016/01/08,中壢,6.0,16.0
175,2016/01/08,中壢,7.0,33.0
176,2016/01/08,中壢,8.0,33.0
177,2016/01/08,中壢,9.0,34.0
178,2016/01/08,中壢,10.0,32.0
179,2016/01/08,中壢,11.0,28.0
180,2016/01/08,中壢,12.0,28.0
181,2016/01/08,中壢,13.0,35.0
182,2016/01/08,中壢,14.0,42.0
183,2016/01/08,中壢,15.0,39.0
184,2016/01/08,中壢,16.0,35.0
185,2016/01/08,中壢,17.0,25.0
186,2016/01/08,中壢,18.0,21.0
187,2016/01/08,中壢,19.0,16.0
188,2016/01/08,中壢,20.0,15.0
189,2016/01/08,中壢,21.0,21.0
190,2016/01/08,中壢,22.0,16.0
191,2016/01/08,中壢,23.0,15.0
192,2016/01/09,中壢,0.0,14.0
193,2016/01/09,中壢,1.0,14.0
194,2016/01/09,中壢,2.0,15.0
195,2016/01/09,中壢,3.0,6.0
196,2016/01/09,中壢,4.0,6.0
197,2016/01/09,中壢,5.0,9.0
198,2016/01/09,中壢,6.0,17.0
199,2016/01/09,中壢,7.0,25.0
200,2016/01/09,中壢,8.0,28.0
201,2016/01/09,中壢,9.0,31.0
202,2016/01/09,中壢,10.0,32.0
203,2016/01/09,中壢,11.0,25.0
204,2016/01/09,中壢,12.0,24.0
205,2016/01/09,中壢,13.0,23.0
206,2016/01/09,中壢,14.0,25.0
207,2016/01/09,中壢,15.0,28.0
208,2016/01/09,中壢,16.0,30.0
209,2016/01/09,中壢,17.0,37.0
210,2016/01/09,中壢,18.0,33.0
211,2016/01/09,中壢,19.0,32.0
212,2016/01/09,中壢,20.0,31.0
213,2016/01/09,中壢,21.0,33.0
214,2016/01/09,中壢,22.0,32.0
215,2016/01/09,中壢,23.0,31.0
216,2016/01/10,中壢,0.0,33.0
217,2016/01/10,中壢,1.0,33.0
218,2016/01/10,中壢,2.0,34.0
219,2016/01/10,中壢,3.0,31.0
220,2016/01/10,中壢,4.0,29.0
221,2016/01/10,中壢,5.0,23.0
222,2016/01/10,中壢,6.0,19.0
223,2016/01/10,中壢,7.0,42.0
224,2016/01/10,中壢,8.0,41.0
225,2016/01/10,中壢,9.0,42.0
226,2016/01/10,中壢,10.0,30.0
227,2016/01/10,中壢,11.0,25.0
228,2016/01/10,中壢,12.0,15.0
229,2016/01/10,中壢,13.0,9.0
230,2016/01/10,中壢,14.0,15.0
231,2016/01/10,中壢,15.0,18.0
232,2016/01/10,中壢,16.0,29.0
233,2016/01/10,中壢,17.0,25.0
234,2016/01/10,中壢,18.0,25.0
235,2016/01/10,中壢,19.0,18.0
236,2016/01/10,中壢,20.0,18.0
237,2016/01/10,中壢,21.0,25.0
238,2016/01/10,中壢,22.0,18.0
239,2016/01/10,中壢,23.0,18.0
240,2016/01/11,中壢,0.0,18.0
241,2016/01/11,中壢,1.0,23.0
242,2016/01/11,中壢,2.0,15.0
243,2016/01/11,中壢,3.0,11.0
244,2016/01/11,中壢,4.0,3.0
245,2016/01/11,中壢,5.0,3.0
246,2016/01/11,中壢,6.0,6.0
247,2016/01/11,中壢,7.0,6.0
248,2016/01/11,中壢,8.0,11.0
249,2016/01/11,中壢,9.0,9.0
250,2016/01/11,中壢,10.0,5.0
251,2016/01/11,中壢,11.0,3.0
252,2016/01/11,中壢,12.0,2.0
253,2016/01/11,中壢,13.0,7.0
254,2016/01/11,中壢,14.0,6.0
255,2016/01/11,中壢,15.0,7.0
256,2016/01/11,中壢,16.0,6.0
257,2016/01/11,中壢,17.0,4.0
258,2016/01/11,中壢,18.0,14.0
259,2016/01/11,中壢,19.0,12.0
260,2016/01/11,中壢,20.0,22.0
261,2016/01/11,中壢,21.0,14.0
262,2016/01/11,中壢,22.0,12.0
263,2016/01/11,中壢,23.0,22.0
264,2016/01/12,中壢,0.0,13.0
265,2016/01/12,中壢,1.0,12.0
266,2016/01/12,中壢,2.0,5.0
267,2016/01/12,中壢,3.0,5.0
268,2016/01/12,中壢,4.0,5.0
269,2016/01/12,中壢,5.0,-1.0
270,2016/01/12,中壢,6.0,4.0
271,2016/01/12,中壢,7.0,11.0
272,2016/01/12,中壢,8.0,15.0
273,2016/01/12,中壢,9.0,10.0
274,2016/01/12,中壢,10.0,9.0
275,2016/01/12,中壢,11.0,5.0
276,2016/01/12,中壢,12.0,13.0
277,2016/01/12,中壢,13.0,16.0
278,2016/01/12,中壢,14.0,20.0
279,2016/01/12,中壢,15.0,18.0
280,2016/01/12,中壢,16.0,18.0
281,2016/01/12,中壢,17.0,14.0
282,2016/01/12,中壢,18.0,16.0
283,2016/01/12,中壢,19.0,15.0
284,2016/01/12,中壢,20.0,13.0
