,date,location,time,PM2.5
116,2016/01/05,оч╢щ,20.0,10.0
117,2016/01/05,оч╢щ,21.0,16.0
118,2016/01/05,оч╢щ,22.0,14.0
119,2016/01/05,оч╢щ,23.0,10.0
120,2016/01/06,оч╢щ,0.0,8.0
121,2016/01/06,оч╢щ,1.0,8.0
122,2016/01/06,оч╢щ,2.0,5.0
123,2016/01/06,оч╢щ,3.0,8.0
124,2016/01/06,оч╢щ,4.0,9.0
125,2016/01/06,оч╢щ,5.0,9.0
126,2016/01/06,оч╢щ,6.0,10.0
127,2016/01/06,оч╢щ,7.0,11.0
128,2016/01/06,оч╢щ,8.0,
129,2016/01/06,оч╢щ,9.0,11.0
130,2016/01/06,оч╢щ,10.0,9.0
131,2016/01/06,оч╢щ,11.0,9.0
132,2016/01/06,оч╢щ,12.0,9.0
133,2016/01/06,оч╢щ,13.0,7.0
134,2016/01/06,оч╢щ,14.0,11.0
135,2016/01/06,оч╢щ,15.0,9.0
136,2016/01/06,оч╢щ,16.0,8.0
137,2016/01/06,оч╢щ,17.0,8.0
138,2016/01/06,оч╢щ,18.0,5.0
139,2016/01/06,оч╢щ,19.0,9.0
140,2016/01/06,оч╢щ,20.0,9.0
141,2016/01/06,оч╢щ,21.0,5.0
142,2016/01/06,оч╢щ,22.0,9.0
143,2016/01/06,оч╢щ,23.0,9.0
144,2016/01/07,оч╢щ,0.0,11.0
145,2016/01/07,оч╢щ,1.0,11.0
146,2016/01/07,оч╢щ,2.0,9.0
147,2016/01/07,оч╢щ,3.0,6.0
148,2016/01/07,оч╢щ,4.0,6.0
149,2016/01/07,оч╢щ,5.0,4.0
150,2016/01/07,оч╢щ,6.0,12.0
151,2016/01/07,оч╢щ,7.0,24.0
152,2016/01/07,оч╢щ,8.0,23.0
153,2016/01/07,оч╢щ,9.0,20.0
154,2016/01/07,оч╢щ,10.0,23.0
155,2016/01/07,оч╢щ,11.0,25.0
156,2016/01/07,оч╢щ,12.0,25.0
157,2016/01/07,оч╢щ,13.0,25.0
158,2016/01/07,оч╢щ,14.0,25.0
159,2016/01/07,оч╢щ,15.0,22.0
160,2016/01/07,оч╢щ,16.0,22.0
161,2016/01/07,оч╢щ,17.0,27.0
162,2016/01/07,оч╢щ,18.0,27.0
163,2016/01/07,оч╢щ,19.0,29.0
164,2016/01/07,оч╢щ,20.0,31.0
165,2016/01/07,оч╢щ,21.0,27.0
166,2016/01/07,оч╢щ,22.0,29.0
167,2016/01/07,оч╢щ,23.0,31.0
168,2016/01/08,оч╢щ,0.0,25.0
169,2016/01/08,оч╢щ,1.0,22.0
170,2016/01/08,оч╢щ,2.0,22.0
171,2016/01/08,оч╢щ,3.0,20.0
172,2016/01/08,оч╢щ,4.0,15.0
173,2016/01/08,оч╢щ,5.0,15.0
174,2016/01/08,оч╢щ,6.0,20.0
175,2016/01/08,оч╢щ,7.0,27.0
176,2016/01/08,оч╢щ,8.0,32.0
177,2016/01/08,оч╢щ,9.0,22.0
178,2016/01/08,оч╢щ,10.0,28.0
179,2016/01/08,оч╢щ,11.0,22.0
180,2016/01/08,оч╢щ,12.0,34.0
181,2016/01/08,оч╢щ,13.0,34.0
182,2016/01/08,оч╢щ,14.0,30.0
